,Funding Orgs
205,Deanship of Research (DSR) at King Fahd University of Petroleum & Minerals (KFUPM) [SR171004]; King Abdullah City for Atomic and Renewable Energy (K.A.CARE)
206,Deanship of Research (DSR) at King Fahd University of Petroleum AMP; Minerals (KFUPM) [RG171009]; King Abdullah City for Atomic and Renewable Energy (K.A.CARE)
207,Deanship of Research (DSR) at King Fahd University of Petroleum and Minerals (KFUPM) [RG171009]
208,Deanship of Research (DSR) at the King Fahd University of Petroleum & Minerals (KFUPM) [IN161038]; Australian Research CouncilAustralian Research Council
209,Deanship of Research (DSR) at the King Fahd University of Petroleum & Minerals (KFUPM) [IN161038]; King Abdullah City for Atomic and Renewable Energy (K.A.CARE)
210,Deanship of Research (DSR) of King Fahd University of Petroleum and Minerals (KFUPM) [IN151010]
211,"Deanship of Research (DSR), King Fahd University of Petroleum and Minerals (KFUPM) [IN161043]"
212,"Deanship of Research (DSR), King Fahd University of Petroleum and Minerals (KFUPM) [IN161043]; King Abdullah City for Atomic and Renewable Energy (K.A.CARE)"
213,"Deanship of Research (DSR), King Fahd University of Petroleum and Minerals (KFUPM) [SR171004]; King Abdullah City for Atomic and Renewable Energy"
214,"Deanship of Research (DSR), King Fahd University of Petroleum and Minerals [IN161018]"
215,"Deanship of Research (DSR), King Fahd University of Petroleum and Minerals [SR161004]"
216,Deanship of Research at King Fahd University of Petrolecum and Minerals (KFUPM); King Abdulaziz City for Science and Technology (KACST) [11-ADV2134-04]
217,"Deanship of Research at King Fahd University of Petroleum & Minerals (KFUPM), Saudi Arabia"
218,Deanship of Research at King Fahd University of Petroleum and Minerals (KFUPM) [IN161001]
219,Deanship of Research at King Fahd University of Petroleum and Minerals (KFUPM) [IN161033]
220,Deanship of Research at King Fahd University of Petroleum and Minerals (KFUPM) [IN171001]
221,Deanship of Research at King Fahd University of Petroleum and Minerals (KFUPM) [SR151007]
222,"Deanship of Research at King Fahd University of Petroleum and Minerals (KFUPM), Dhahran, Saudi Arabia"
223,Deanship of Research at King Fahd University of Petroleum and Minerals (KFUPM); King Abdulaziz City for Science and Technology (KACST) [11-ADV2134-04]
224,Deanship of Research at King Fahd University of Petroleum and Minerals [IN121050]; Belarus National Technical University
225,Deanship of Research at King Fahd University of Petroleum and Minerals [RG1404]; King Abdullah City for Atomic and Renewable Energy
226,"Deanship of Research at King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia [171001]"
